startup_name,industry,sub_industry,city,year_founded,company_age,funding_stage,total_funding_usd_mn,revenue_usd_mn,growth_rate_pct,employees,burn_rate_usd_mn_monthly,profit_loss_usd_mn,market_size_usd_bn,market_growth_rate_pct,website_traffic_mn_monthly,app_downloads_mn,social_media_followers_mn,competitor_count,customer_retention_pct,nps_score
LearnAI,EV,EV Charging,Pune,2021,4,Seed,294.3,274.6,47.6,149,14.4,-26.0,27.2,37.0,3.51,83.72,8.8,38,79.5,58
CareAI,Logistics,Cold Chain,Chennai,2018,7,Series A,98.7,138.1,32.1,294,0.7,-15.9,123.1,11.8,24.87,59.72,6.75,28,66.1,28
LogiLink,Fintech,WealthTech,Bengaluru,2020,5,Seed,137.2,135.8,16.5,1213,1.4,-49.7,193.9,10.2,5.24,31.53,16.17,19,92.3,74
DataSync,Fintech,Lending,Hyderabad,2019,6,Series B,255.0,353.5,79.4,487,14.7,67.4,132.9,34.3,2.67,67.02,0.98,18,90.9,42
PayNow,Edtech,K12,Chennai,2018,7,Series A,93.3,163.9,113.8,197,7.2,62.1,170.5,21.2,41.46,3.8,11.97,37,70.8,64
ClassAI,Edtech,Upskilling,Pune,2019,6,Series B,4.5,5.2,98.0,67,8.2,36.0,150.2,28.2,21.4,87.68,8.41,37,87.9,49
MediCare,Healthtech,HealthOS,Pune,2013,12,Growth,29.3,29.9,78.3,1001,13.1,77.9,156.0,24.6,21.13,73.78,4.85,5,65.7,75
TrendShop,Foodtech,Cloud Kitchen,Hyderabad,2016,9,Series A,52.4,45.9,84.1,309,3.4,73.5,159.4,13.1,20.94,87.92,18.9,13,89.7,53
EVolt,Fintech,Lending,Hyderabad,2019,6,Series C,66.7,80.8,65.4,400,3.6,-27.1,51.9,16.5,39.0,35.08,1.25,25,88.6,54
TeamSync,Ecommerce,B2B Commerce,Bengaluru,2021,4,Growth,6.1,10.9,108.5,5810,7.1,31.0,152.1,11.2,44.76,86.03,9.2,5,55.0,48
ByteBite,Fintech,Lending,Bengaluru,2021,4,Series A,104.8,118.0,17.7,723,6.2,-1.6,59.4,35.3,24.84,8.2,4.48,15,89.2,32
TrustShield,Fintech,BNPL,Noida,2014,11,Growth,30.3,39.9,71.4,695,4.2,64.2,161.5,33.0,42.54,86.74,14.2,27,91.2,55
UpskillPro,EV,Battery Tech,Chennai,2018,7,Series C,190.2,58.5,99.8,222,3.6,68.1,10.2,29.5,37.86,25.94,3.94,15,73.9,68
DocAI,Fintech,Payments,Noida,2019,6,Series A,41.9,30.4,10.1,295,6.6,59.2,84.5,16.3,37.71,78.9,3.56,38,43.7,46
FreightX,Logistics,Last Mile,Hyderabad,2021,4,Seed,23.7,9.8,103.5,234,14.9,37.9,94.7,32.7,29.76,38.42,1.41,35,57.8,34
GrowthAI,Logistics,Cold Chain,Delhi,2018,7,Series A,7.1,12.7,55.7,162,6.9,-28.7,161.0,34.3,11.12,8.33,13.64,24,47.2,22
WalletAI,Fintech,BNPL,Hyderabad,2016,9,Series C,6.0,4.7,89.1,138,11.2,-24.0,174.9,35.0,28.18,47.21,10.91,27,87.8,72
EduSync,Logistics,Cold Chain,Delhi,2015,10,Series A,101.1,177.1,28.8,189,7.0,-49.8,123.7,31.3,12.45,55.89,4.59,24,72.0,72
WellTrack,Edtech,Corporate Training,Noida,2012,13,Series B,31.7,38.0,40.7,21,10.5,61.8,158.2,11.4,24.08,10.58,4.92,34,41.0,73
StyleAI,Foodtech,AgriTech,Hyderabad,2021,4,Seed,58.9,95.6,17.2,112,12.4,-3.5,71.2,44.2,10.12,69.35,16.45,13,46.8,78
RideCharge,Foodtech,Food Delivery,Chennai,2018,7,Seed,8.7,14.8,114.1,578,9.5,51.8,126.3,27.0,33.07,55.34,11.99,24,64.9,22
FlowBase,EV,EV Two-Wheeler,Hyderabad,2013,12,Series A,15.8,23.5,81.8,144,7.6,22.2,146.6,18.0,49.82,97.48,13.04,12,62.2,48
KitchenX,Foodtech,Restaurant Tech,Gurugram,2018,7,Seed,202.2,281.2,91.2,219,6.5,-5.0,80.5,44.6,2.1,86.72,11.62,38,41.6,53
PaySafe,Logistics,Cross Border,Mumbai,2015,10,Series A,7.7,9.2,110.2,137,3.3,31.0,130.0,35.7,6.67,71.61,18.19,25,74.8,33
SkillAI,Foodtech,Cloud Kitchen,Gurugram,2016,9,Growth,48.0,21.4,53.4,117,9.0,25.3,135.9,13.3,32.64,31.28,8.04,37,76.1,20
HealthSync,Logistics,Cross Border,Noida,2018,7,Series C,8.4,3.4,27.0,186,7.9,-6.2,167.5,25.1,12.51,61.75,14.16,22,60.9,62
RouteAI,SaaS,Marketing Tech,Pune,2016,9,Series C,127.6,123.7,104.8,645,8.5,20.2,16.5,44.5,6.24,23.19,1.13,3,46.7,25
InsightX,SaaS,CRM,Delhi,2012,13,Growth,26.9,14.1,118.5,246,14.5,-49.4,190.8,32.4,43.41,45.53,10.36,25,76.7,39
CoinFlow,EV,EV Fleet,Chennai,2015,10,Growth,17.7,23.2,116.6,466,1.6,37.4,94.3,40.4,8.94,69.29,16.78,28,60.6,49
StudyAI,Edtech,Test Prep,Bengaluru,2019,6,Series A,85.5,40.2,97.1,406,13.8,28.1,188.8,38.9,33.38,57.76,7.04,4,95.0,25
ClinicX,EV,EV Two-Wheeler,Bengaluru,2020,5,Seed,80.3,92.4,90.7,373,13.2,2.5,72.1,33.4,40.41,76.25,15.98,21,87.8,20
ShopAI,Logistics,Warehousing,Chennai,2016,9,Seed,14.7,13.1,85.9,57,6.0,8.3,55.1,23.1,11.44,7.41,12.11,16,74.1,65
VoltX,Fintech,Lending,Pune,2019,6,Series A,2.7,0.9,46.2,2418,5.8,1.8,120.2,28.7,30.43,76.51,16.28,23,50.8,74
WorkAI,Logistics,Cold Chain,Pune,2020,5,Series C,13.1,7.8,61.7,1130,3.1,-28.4,127.3,28.3,33.54,92.97,10.69,10,57.1,55
FoodSync,Foodtech,Cloud Kitchen,Mumbai,2015,10,Seed,60.9,29.5,104.3,910,12.0,-26.0,66.1,37.8,9.34,91.78,8.55,9,84.9,63
SecureX,Logistics,Last Mile,Mumbai,2018,7,Series B,73.5,87.5,96.9,2322,9.8,-27.3,78.5,41.7,38.52,55.71,5.19,6,55.1,38
TalentAI,Ecommerce,Electronics,Gurugram,2020,5,Series A,72.8,71.2,73.7,111,2.7,45.8,173.9,17.6,4.88,2.46,12.88,30,51.3,30
CareX,Edtech,K12,Chennai,2020,5,Growth,79.6,40.2,85.9,244,6.2,5.7,146.3,34.2,49.56,12.93,2.17,28,58.5,51
LinkFast,EV,EV Two-Wheeler,Chennai,2019,6,Series C,212.1,191.3,49.1,1360,5.3,30.2,94.1,39.1,33.51,7.09,12.84,10,88.4,69
MetricsAI,Healthtech,Diagnostics,Hyderabad,2021,4,Growth,238.2,426.7,82.1,72,8.5,45.0,98.4,12.1,28.16,95.77,3.59,33,81.5,74
MoneyAI,Logistics,Warehousing,Chennai,2018,7,Seed,22.6,29.3,97.1,842,13.9,-19.5,85.9,15.3,49.62,92.71,10.85,32,68.7,25
LearnX,Foodtech,Cloud Kitchen,Noida,2016,9,Seed,99.9,136.2,12.0,438,4.7,-15.8,78.4,13.1,46.85,55.42,6.18,25,91.8,37
WellnessX,EV,EV Charging,Delhi,2017,8,Series B,5.0,5.3,52.5,827,8.2,31.6,138.1,28.6,36.1,14.21,4.32,16,44.5,40
CartAI,Healthtech,Diagnostics,Delhi,2014,11,Series A,56.5,71.3,100.1,242,2.2,62.1,185.3,27.0,30.35,76.5,3.58,5,92.4,25
